,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
09/29/1979,303000,77.8,390000,385000,1964000,81,2426000,2423250,2.4,2.9,83262422
10/06/1979,379000,92.2,412000,393500,1924000,79.3,2428000,2422250,2.3,2.9,84482518
10/13/1979,335000,85.4,393000,395750,2074000,81.8,2535000,2448250,2.5,3,84482518
10/20/1979,342000,84.3,406000,400250,2059000,83.2,2475000,2466000,2.4,2.9,84482518
10/27/1979,353000,88.7,398000,402250,2120000,84.1,2522000,2490000,2.5,3,84482518
11/03/1979,372000,94.3,395000,398000,2145000,83.5,2569000,2525250,2.5,3,84482518
11/10/1979,392000,94.9,414000,403250,2189000,86.3,2537000,2525750,2.6,3,84482518
11/17/1979,401000,93.3,430000,409250,2201000,82.9,2656000,2571000,2.6,3.1,84482518
11/24/1979,379000,91.8,414000,413250,2627000,99.2,2648000,2602500,3.1,3.1,84482518
12/01/1979,513000,123.4,416000,418500,2615000,96.9,2698000,2634750,3.1,3.2,84482518
12/08/1979,521000,125.7,415000,418750,2707000,100.8,2685000,2671750,3.2,3.2,84482518
12/15/1979,455000,110.7,411000,414000,2756000,101.6,2712000,2685750,3.3,3.2,84482518
12/22/1979,580000,123.4,471000,428250,2680000,100.2,2674000,2692250,3.2,3.2,84482518
12/29/1979,596000,139.3,428000,431250,3161000,116,2725000,2699000,3.7,3.2,84482518
01/05/1980,574000,145.9,394000,426000,3619000,131.7,2749000,2715000,4.2,3.2,85385877
01/12/1980,804000,198.6,405000,424500,3498000,125.9,2778000,2731500,4.1,3.3,85385877
01/19/1980,648000,145.4,446000,418250,3546000,127.4,2783000,2758750,4.2,3.3,85385877
01/26/1980,515000,125.1,412000,414250,3498000,124.2,2817000,2781750,4.1,3.3,85385877
02/02/1980,471000,116.5,404000,416750,3543000,123.7,2864000,2810500,4.1,3.4,85385877
02/09/1980,493000,116.2,425000,421750,3492000,121.8,2867000,2832750,4.1,3.4,85385877
02/16/1980,418000,100.8,415000,414000,3492000,121.4,2877000,2856250,4.1,3.4,85385877
02/23/1980,415000,97,428000,418000,3596000,125.5,2866000,2868500,4.2,3.4,85385877
03/01/1980,407000,99.5,409000,419250,3486000,122.4,2848000,2864500,4.1,3.3,85385877
03/08/1980,413000,98.9,418000,417500,3475000,120.5,2883000,2868500,4.1,3.4,85385877
03/15/1980,398000,92.1,432000,421750,3413000,118.2,2888000,2871250,4,3.4,85385877
03/22/1980,392000,90.2,435000,423500,3337000,114.2,2921000,2885000,3.9,3.4,85385877
03/29/1980,399000,84.2,475000,440000,3223000,112.4,2866000,2889500,3.8,3.4,85385877
04/05/1980,451000,97.3,464000,451500,3245000,107.9,3007000,2920500,3.8,3.5,86043597
04/12/1980,535000,98.4,544000,479500,3320000,107.6,3085000,2969750,3.9,3.6,86043597
04/19/1980,495000,90.4,548000,507750,3292000,103.3,3188000,3036500,3.8,3.7,86043597
04/26/1980,482000,85.6,563000,529750,3272000,101.4,3226000,3126500,3.8,3.7,86043597
05/03/1980,491000,86,572000,556750,3241000,97.2,3334000,3208250,3.8,3.9,86043597
05/10/1980,526000,87.6,601000,571000,3300000,96.6,3417000,3291250,3.8,4,86043597
05/17/1980,539000,84,642000,594500,3347000,94.4,3544000,3380250,3.9,4.1,86043597
05/24/1980,525000,83.9,627000,610500,3277000,88.6,3698000,3498250,3.8,4.3,86043597
05/31/1980,477000,74.8,637000,626750,3489000,93.5,3731000,3597500,4.1,4.3,86043597
06/07/1980,562000,92.3,610000,629000,3459000,91.5,3781000,3688500,4,4.4,86043597
06/14/1980,511000,86.5,592000,616500,3448000,91.3,3779000,3747250,4,4.4,86043597
06/21/1980,529000,88.3,599000,609500,3489000,90.4,3858000,3787250,4.1,4.5,86043597
06/28/1980,563000,89.9,627000,607000,3384000,86.5,3912000,3832500,3.9,4.5,86043597
07/05/1980,584000,100.9,579000,599250,3663000,95.8,3823000,3843000,4.2,4.4,86635358
07/12/1980,643000,120.7,533000,584500,3803000,99.1,3836000,3857250,4.4,4.4,86635358
07/19/1980,628000,110.7,567000,576500,3729000,96.3,3872000,3860750,4.3,4.5,86635358
07/26/1980,569000,102,558000,559250,3635000,94.4,3851000,3845500,4.2,4.4,86635358
08/02/1980,536000,94.3,569000,556750,3608000,95.2,3789000,3837000,4.2,4.4,86635358
08/09/1980,494000,92.6,533000,556750,3601000,93.2,3862000,3843500,4.2,4.5,86635358
08/16/1980,435000,83.1,525000,546250,3488000,91.5,3813000,3828750,4,4.4,86635358
08/23/1980,410000,80.2,512000,534750,3366000,89.7,3754000,3804500,3.9,4.3,86635358
08/30/1980,397000,79.2,502000,518000,3136000,82.4,3808000,3809250,3.6,4.4,86635358
09/06/1980,374000,73.3,511000,512500,3242000,87.7,3698000,3768250,3.7,4.3,86635358
09/13/1980,414000,84.2,492000,504250,3123000,84.4,3699000,3739750,3.6,4.3,86635358
09/20/1980,381000,82.1,465000,492500,3063000,82.8,3698000,3725750,3.5,4.3,86635358
09/27/1980,363000,78.6,463000,482750,2984000,81.1,3679000,3693500,3.4,4.2,86635358
10/04/1980,410000,88.9,462000,470500,2931000,79.8,3672000,3687000,3.4,4.2,87073394
10/11/1980,417000,93.4,447000,459250,2854000,80.4,3549000,3649500,3.3,4.1,87073394
10/18/1980,355000,83.8,425000,449250,2939000,84.5,3477000,3594250,3.4,4,87073394
10/25/1980,384000,92.1,418000,438000,2943000,83.5,3527000,3556250,3.4,4.1,87073394
11/01/1980,395000,94.3,419000,427250,2862000,84.4,3391000,3486000,3.3,3.9,87073394
11/08/1980,416000,102.4,407000,417250,2840000,84,3380000,3443750,3.3,3.9,87073394
11/15/1980,403000,94.4,427000,417750,3027000,92.8,3260000,3389500,3.5,3.7,87073394
11/22/1980,440000,110.7,398000,412750,2780000,84.2,3303000,3333500,3.2,3.8,87073394
11/29/1980,407000,98.8,412000,411000,3286000,103.7,3169000,3278000,3.8,3.6,87073394
12/06/1980,534000,128.3,416000,413250,3154000,99,3185000,3229250,3.6,3.7,87073394
12/13/1980,481000,116.7,413000,409750,3241000,103.7,3125000,3195500,3.7,3.6,87073394
12/20/1980,499000,121.2,412000,413250,2932000,95.9,3056000,3133750,3.4,3.5,87073394
12/27/1980,546000,137.1,399000,410000,3477000,110.9,3136000,3125500,4,3.6,87073394
01/03/1981,580000,141.5,410000,408500,4125000,132.1,3123000,3110000,4.7,3.6,87092635
01/10/1981,839000,200.1,419000,410000,3930000,127.5,3082000,3099250,4.5,3.5,87092635
01/17/1981,638000,151.8,421000,412250,3878000,128.3,3023000,3091000,4.5,3.5,87092635
01/24/1981,521000,131.6,396000,411500,3744000,125.3,2988000,3054000,4.3,3.4,87092635
01/31/1981,490000,116.8,419000,413750,3710000,124.7,2975000,3017000,4.3,3.4,87092635
02/07/1981,500000,119.1,420000,414000,3593000,122,2945000,2982750,4.1,3.4,87092635
02/14/1981,439000,104,423000,414500,3704000,121.7,3043000,2987750,4.3,3.5,87092635
02/21/1981,430000,98.2,438000,425000,3769000,124.7,3023000,2996500,4.3,3.5,87092635
02/28/1981,432000,99.7,434000,428750,3608000,124.4,2901000,2978000,4.1,3.3,87092635
03/07/1981,414000,101.3,409000,426000,3550000,121.1,2931000,2974500,4.1,3.4,87092635
03/14/1981,385000,94.4,408000,422250,3464000,119.3,2905000,2940000,4,3.3,87092635
03/21/1981,365000,91.2,401000,413000,3343000,115.9,2885000,2905500,3.8,3.3,87092635
03/28/1981,356000,86.4,412000,407500,3262000,113.4,2876000,2899250,3.7,3.3,87092635
04/04/1981,383000,92.1,417000,409500,3147000,109.4,2875000,2885250,3.6,3.3,86945288
04/11/1981,401000,101.4,396000,406500,3028000,108.1,2800000,2859000,3.5,3.2,86945288
04/18/1981,350000,89.3,392000,404250,2980000,104.2,2860000,2852750,3.4,3.3,86945288
04/25/1981,379000,87.1,436000,410250,2960000,102.3,2893000,2857000,3.4,3.3,86945288
05/02/1981,342000,82.9,413000,409250,2862000,97.2,2944000,2874250,3.3,3.4,86945288
05/09/1981,369000,87.3,423000,416000,2793000,96.7,2887000,2896000,3.2,3.3,86945288
05/16/1981,340000,82.2,414000,421500,2703000,94.4,2865000,2897250,3.1,3.3,86945288
05/23/1981,342000,82.4,415000,416250,2544000,88.9,2862000,2889500,2.9,3.3,86945288
05/30/1981,301000,72.4,417000,417250,2691000,90.8,2962000,2894000,3.1,3.4,86945288
06/06/1981,384000,89.9,428000,418500,2632000,91.5,2877000,2891500,3,3.3,86945288
06/13/1981,367000,86.7,425000,421250,2593000,90.4,2867000,2892000,3,3.3,86945288
06/20/1981,376000,86.4,435000,426250,2577000,89.3,2886000,2898000,3,3.3,86945288
06/27/1981,387000,87.2,444000,433000,2552000,85.6,2983000,2903250,2.9,3.4,86945288
07/04/1981,430000,93.7,460000,441000,2672000,92.6,2886000,2905500,3.1,3.3,86917852
07/11/1981,516000,121.1,426000,441250,2815000,98.9,2845000,2900000,3.2,3.3,86917852
07/18/1981,481000,111.9,430000,440000,2770000,95.4,2902000,2904000,3.2,3.3,86917852
07/25/1981,429000,105.6,407000,430750,2718000,93.8,2899000,2883000,3.1,3.3,86917852
08/01/1981,444000,93.3,476000,434750,2711000,94.5,2867000,2878250,3.1,3.3,86917852
08/08/1981,419000,93.7,448000,440250,2769000,92.4,2998000,2916500,3.2,3.4,86917852
08/15/1981,369000,83.5,442000,443250,2713000,91.5,2966000,2932500,3.1,3.4,86917852
08/22/1981,351000,80.8,434000,450000,2625000,88.8,2957000,2947000,3,3.4,86917852
08/29/1981,352000,78.1,451000,443750,2572000,87.1,2954000,2968750,3,3.4,86917852
09/05/1981,396000,83.8,473000,450000,2386000,81.9,2914000,2947750,2.7,3.4,86917852
09/12/1981,331000,73,454000,453000,2598000,85.2,3051000,2969000,3,3.5,86917852
09/19/1981,392000,82.7,475000,463250,2484000,82.4,3014000,2983250,2.9,3.5,86917852
09/26/1981,392000,79.9,491000,473250,2487000,80.9,3073000,3013000,2.9,3.5,86917852
10/03/1981,416000,85,489000,477250,2453000,79.9,3069000,3051750,2.8,3.5,86935054
10/10/1981,476000,97.1,491000,486500,2450000,79.1,3098000,3063500,2.8,3.6,86935054
10/17/1981,408000,83.8,487000,489500,2633000,84.8,3104000,3086000,3,3.6,86935054
10/24/1981,450000,93.3,483000,487500,2642000,83.1,3181000,3113000,3,3.7,86935054
10/31/1981,479000,93.2,514000,493750,2699000,84.8,3183000,3141500,3.1,3.7,86935054
11/07/1981,534000,104,514000,499500,2722000,82.9,3282000,3187500,3.1,3.8,86935054
11/14/1981,483000,93.4,517000,507000,3077000,93.5,3291000,3234250,3.5,3.8,86935054
11/21/1981,522000,112.7,464000,502250,2844000,83.2,3416000,3293000,3.3,3.9,86935054
11/28/1981,535000,97,552000,511750,3510000,104.5,3360000,3337250,4,3.9,86935054
12/05/1981,726000,130.2,558000,522750,3506000,99.7,3517000,3396000,4,4,86935054
12/12/1981,657000,119.4,551000,531250,3549000,104.5,3397000,3422500,4.1,3.9,86935054
12/19/1981,644000,119.6,539000,550000,3466000,97.6,3551000,3456250,4,4.1,86935054
12/26/1981,702000,126.4,556000,551000,3921000,107.8,3636000,3525250,4.5,4.2,86935054
01/02/1982,694300,140.2,495000,535250,4547000,129.1,3523000,3526750,5.2,4,87243185
01/09/1982,1073500,197,545000,533750,4334000,127.5,3398000,3527000,5,3.9,87243185
01/16/1982,761700,155.8,489000,521250,4611000,127.2,3624000,3545250,5.3,4.2,87243185
01/23/1982,771200,136.7,564000,523250,4524000,125.6,3602000,3536750,5.2,4.1,87243185
01/30/1982,692300,118.8,583000,545250,4396000,124.9,3521000,3536250,5,4,87243185
02/06/1982,671000,120.6,556000,548000,4383000,121.2,3617000,3591000,5,4.1,87243185
02/13/1982,532800,105.1,507000,552500,4194000,120.2,3490000,3557500,4.8,4,87243185
02/20/1982,522900,96.2,544000,547500,4485000,125.9,3562000,3547500,5.1,4.1,87243185
02/27/1982,536300,101.6,528000,533750,4443000,125,3553000,3555500,5.1,4.1,87243185
03/06/1982,566300,101.8,556000,533750,4385000,121.2,3619000,3556000,5,4.1,87243185
03/13/1982,515100,95.5,539000,541750,4328000,120,3605000,3584750,5,4.1,87243185
03/20/1982,510500,91.7,557000,545000,4288000,116.4,3684000,3615250,4.9,4.2,87243185
03/27/1982,501500,87.4,574000,556500,4233000,114,3714000,3655500,4.9,4.3,87243185
04/03/1982,516600,89.4,578000,562000,4104000,110.3,3720000,3680750,4.7,4.2,87661898
04/10/1982,606300,103.6,585000,573500,4169000,108.5,3841000,3739750,4.8,4.4,87661898
04/17/1982,540300,90.5,597000,583500,4173000,105.2,3967000,3810500,4.8,4.5,87661898
04/24/1982,518600,88.2,588000,587000,4032000,102.6,3930000,3864500,4.6,4.5,87661898
05/01/1982,475600,82.5,576000,586500,3880000,98,3960000,3924500,4.4,4.5,87661898
05/08/1982,516500,88.5,584000,586250,3855000,97,3972000,3957250,4.4,4.5,87661898
05/15/1982,486500,83.1,585000,583250,3777000,95.2,3968000,3957500,4.3,4.5,87661898
05/22/1982,486300,83,586000,582750,3711000,90.4,4103000,4000750,4.2,4.7,87661898
05/29/1982,485800,82.6,588000,585750,3557000,89.9,3956000,3999750,4.1,4.5,87661898
06/05/1982,478600,78.3,611000,592500,3794000,92.7,4094000,4030250,4.3,4.7,87661898
06/12/1982,541600,88.2,614000,599750,3742000,90.8,4121000,4068500,4.3,4.7,87661898
06/19/1982,508100,85.9,591000,601000,3690000,89.9,4105000,4069000,4.2,4.7,87661898
06/26/1982,507700,87.2,582000,599500,3685000,90.8,4057000,4094250,4.2,4.6,87661898
07/03/1982,594400,99.1,600000,596750,3600000,87,4139000,4105500,4.1,4.7,87782614
07/10/1982,631400,110.5,572000,586250,4013000,99.7,4025000,4081500,4.6,4.6,87782614
07/17/1982,647000,114.2,567000,580250,3997000,96.4,4148000,4092250,4.6,4.7,87782614
07/24/1982,576100,107.5,536000,568750,3927000,94.5,4155000,4116750,4.5,4.7,87782614
07/31/1982,562600,93,605000,570000,3834000,94.9,4040000,4092000,4.4,4.6,87782614
08/07/1982,569200,93.9,606000,578500,3893000,92.9,4191000,4133500,4.4,4.8,87782614
08/14/1982,536400,84.2,637000,596000,3901000,92.1,4234000,4155000,4.4,4.8,87782614
08/21/1982,510400,81.3,628000,619000,3834000,89.2,4300000,4191250,4.4,4.9,87782614
08/28/1982,502300,77.6,647000,629500,3802000,88.1,4316000,4260250,4.3,4.9,87782614
09/04/1982,537600,82.5,651000,640750,3565000,81.8,4356000,4301500,4.1,5,87782614
09/11/1982,467700,73,641000,641750,3834000,86.2,4445000,4354250,4.4,5.1,87782614
09/18/1982,559500,82.3,680000,654750,3701000,82.8,4468000,4396250,4.2,5.1,87782614
09/25/1982,535000,79.7,671000,660750,3683000,81.1,4542000,4452750,4.2,5.2,87782614
10/02/1982,565600,81.4,695000,671750,3720000,80.4,4629000,4521000,4.2,5.3,87597222
10/09/1982,638100,98,651000,674250,3674000,78.4,4689000,4582000,4.2,5.4,87597222
10/16/1982,540300,82.3,656000,668250,3899000,84.8,4599000,4614750,4.5,5.3,87597222
10/23/1982,577600,92.7,623000,656250,3872000,82.6,4686000,4650750,4.4,5.3,87597222
10/30/1982,576800,90.6,637000,641750,3891000,84.7,4595000,4642250,4.4,5.2,87597222
11/06/1982,604800,102.6,589000,626250,3846000,81.6,4713000,4648250,4.4,5.4,87597222
11/13/1982,546700,91.2,599000,612000,4221000,92.7,4554000,4637000,4.8,5.2,87597222
11/20/1982,650400,112.7,577000,600500,3840000,81.8,4695000,4639250,4.4,5.4,87597222
11/27/1982,574100,93.9,612000,594250,4597000,103.5,4442000,4601000,5.2,5.1,87597222
12/04/1982,709400,127.4,557000,586250,4460000,98.9,4509000,4550000,5.1,5.1,87597222
12/11/1982,638200,119.7,533000,569750,4475000,103.1,4339000,4496250,5.1,5,87597222
12/18/1982,598000,116,516000,554500,4273000,97.8,4371000,4415250,4.9,5,87597222
12/25/1982,653600,133.6,489000,523750,4535000,103.5,4381000,4400000,5.2,5,87597222
01/01/1983,745100,139.6,534000,518000,5112000,127.5,4010000,4275250,5.9,4.6,87228939
01/08/1983,976600,191.5,510000,512250,5017000,129.1,3885000,4161750,5.8,4.5,87228939
01/15/1983,773600,161.4,479000,503000,4982000,126.1,3950000,4056500,5.7,4.5,87228939
01/22/1983,650600,135.8,479000,500500,4866000,126.1,3860000,3926250,5.6,4.4,87228939
01/29/1983,597700,118.9,503000,492750,4867000,125.1,3890000,3896250,5.6,4.5,87228939
02/05/1983,594200,118.5,501000,490500,4718000,121.7,3877000,3894250,5.4,4.4,87228939
02/12/1983,525100,108.1,486000,492250,4876000,126.1,3865000,3873000,5.6,4.4,87228939
02/19/1983,506300,104,487000,494250,4593000,120.3,3819000,3862750,5.3,4.4,87228939
02/26/1983,448700,93.3,481000,488750,4869000,125.6,3876000,3859250,5.6,4.4,87228939
03/05/1983,497400,100.4,495000,487250,4620000,121.7,3797000,3839250,5.3,4.4,87228939
03/12/1983,459700,96.7,475000,484500,4568000,120.6,3787000,3819750,5.2,4.3,87228939
03/19/1983,427500,90.9,470000,480250,4387000,116.9,3752000,3803000,5,4.3,87228939
03/26/1983,422100,87.8,481000,480250,4262000,114.1,3734000,3767500,4.9,4.3,87228939
04/02/1983,423000,86.2,491000,479250,4164000,110.8,3759000,3758000,4.8,4.3,86723382
04/09/1983,509700,102.8,496000,484500,4120000,108,3814000,3764750,4.8,4.4,86723382
04/16/1983,464800,90.3,515000,495750,3945000,105.4,3744000,3762750,4.5,4.3,86723382
04/23/1983,431300,88.4,488000,497500,3848000,102.3,3762000,3769750,4.4,4.3,86723382
04/30/1983,399900,81.7,490000,497250,3658000,98.3,3722000,3760500,4.2,4.3,86723382
05/07/1983,435000,88,494000,496750,3582000,96.4,3714000,3735500,4.1,4.3,86723382
05/14/1983,385200,83,464000,484000,3451000,95.2,3625000,3705750,4,4.2,86723382
05/21/1983,380300,82.6,460000,477000,3369000,91,3701000,3690500,3.9,4.3,86723382
05/28/1983,373000,82.2,454000,468000,3071000,88.8,3457000,3624250,3.5,4,86723382
06/04/1983,351100,76.4,459000,459250,3291000,92.8,3548000,3582750,3.8,4.1,86723382
06/11/1983,390100,88.3,442000,453750,3120000,90.4,3453000,3539750,3.6,4,86723382
06/18/1983,369200,85.1,434000,447250,3101000,89.8,3452000,3477500,3.6,4,86723382
06/25/1983,383500,86.7,442000,444250,3054000,90.6,3369000,3455500,3.5,3.9,86723382
07/02/1983,397400,94.1,422000,435000,2785000,86,3239000,3378250,3.2,3.8,86147689
07/09/1983,451900,109.7,412000,427500,3208000,99.4,3226000,3321500,3.7,3.7,86147689
07/16/1983,459400,116.1,396000,418000,3117000,96.9,3216000,3262500,3.6,3.7,86147689
07/23/1983,428300,108.5,395000,406250,2982000,94.5,3155000,3209000,3.5,3.7,86147689
07/30/1983,383400,92.4,415000,404500,2943000,94.6,3112000,3177250,3.4,3.6,86147689
08/06/1983,382500,92.1,415000,405250,2886000,92.9,3106000,3147250,3.4,3.6,86147689
08/13/1983,382300,83.7,457000,420500,2858000,92,3107000,3120000,3.3,3.6,86147689
08/20/1983,356900,80.2,445000,433000,2782000,88.9,3131000,3114000,3.2,3.6,86147689
08/27/1983,323600,75.9,426000,435750,2715000,88.2,3079000,3105750,3.2,3.6,86147689
09/03/1983,328800,80.1,411000,434750,2474000,81,3055000,3093000,2.9,3.5,86147689
09/10/1983,288700,71.7,403000,421250,2596000,86.3,3007000,3068000,3,3.5,86147689
09/17/1983,326900,80.7,405000,411250,2461000,82.2,2993000,3033500,2.9,3.5,86147689
09/24/1983,324700,78.1,416000,408750,2399000,80.7,2973000,3007000,2.8,3.5,86147689
10/01/1983,318500,77.1,413000,409250,2332000,79.7,2926000,2974750,2.7,3.4,85777156
10/08/1983,390500,96.1,406000,410000,2263000,77.3,2929000,2955250,2.6,3.4,85777156
10/15/1983,319900,81.2,394000,407250,2435000,83.6,2913000,2935250,2.8,3.4,85777156
10/22/1983,354900,90.1,394000,401750,2360000,81.8,2886000,2913500,2.8,3.4,85777156
10/29/1983,356400,88.3,404000,399500,2405000,84.1,2860000,2897000,2.8,3.3,85777156
11/05/1983,398200,100.9,395000,396750,2203000,80.1,2750000,2852250,2.6,3.2,85777156
11/12/1983,347300,89,390000,395750,2551000,91.5,2789000,2821250,3,3.3,85777156
11/19/1983,431900,111.6,387000,394000,2313000,80.3,2879000,2819500,2.7,3.4,85777156
11/26/1983,362900,91.1,398000,392500,2785000,101.9,2733000,2787750,3.2,3.2,85777156
12/03/1983,458400,125.6,365000,385000,2709000,99,2737000,2784500,3.2,3.2,85777156
12/10/1983,442900,120.2,368000,379500,2710000,101.7,2666000,2753750,3.2,3.1,85777156
12/17/1983,414600,114.5,362000,373250,2762000,98.8,2796000,2733000,3.2,3.3,85777156
12/24/1983,496800,131.9,377000,368000,2704000,99.5,2718000,2729250,3.2,3.2,85777156
12/31/1983,558900,150.2,372000,369750,3080000,116.5,2644000,2706000,3.6,3.1,85777156
01/07/1984,621600,174.7,356000,366750,3397000,131.3,2588000,2686500,4,3,85708142
01/14/1984,637900,181.8,351000,364000,3195000,126.7,2522000,2618000,3.7,2.9,85708142
01/21/1984,475100,142.5,333000,353000,3239000,128,2531000,2571250,3.8,3,85708142
01/28/1984,448500,123.4,364000,351000,3210000,125.6,2556000,2549250,3.7,3,85708142
02/04/1984,408400,119.2,342000,347500,3134000,123.8,2531000,2535000,3.7,3,85708142
02/11/1984,381500,113,338000,344250,3078000,125.5,2453000,2517750,3.6,2.9,85708142
02/18/1984,349300,104.4,334000,344500,2958000,122,2425000,2491250,3.5,2.8,85708142
02/25/1984,329100,95.9,343000,339250,3111000,126,2469000,2469500,3.6,2.9,85708142
03/03/1984,350500,101.1,347000,340500,3008000,123.2,2441000,2447000,3.5,2.8,85708142
03/10/1984,344000,99.5,346000,342500,2946000,121.2,2431000,2441500,3.4,2.8,85708142
03/17/1984,323500,92.7,349000,346250,2875000,118.5,2426000,2441750,3.4,2.8,85708142
03/24/1984,317600,91.8,346000,347000,2779000,115.2,2412000,2427500,3.2,2.8,85708142
03/31/1984,291400,85.4,341000,345500,2707000,112.2,2412000,2420250,3.2,2.8,85708142
04/07/1984,390300,102.4,381000,354250,2622000,108.1,2425000,2418750,3,2.8,86087664
04/14/1984,330800,92.7,357000,356250,2558000,106.8,2396000,2411250,3,2.8,86087664
04/21/1984,326500,89.8,364000,360750,2491000,102.4,2433000,2416500,2.9,2.8,86087664
04/28/1984,309300,82.3,375000,369250,2425000,99.6,2435000,2422250,2.8,2.8,86087664
05/05/1984,318900,87.3,365000,365250,2338000,96.2,2430000,2423500,2.7,2.8,86087664
05/12/1984,312100,84.8,368000,368000,2284000,95.7,2386000,2421000,2.7,2.8,86087664
05/19/1984,294200,83,354000,365500,2213000,92.2,2401000,2413000,2.6,2.8,86087664
05/26/1984,292700,82.8,354000,360250,2054000,88.4,2323000,2385000,2.4,2.7,86087664
06/02/1984,268700,75.7,355000,357750,2212000,93,2379000,2372250,2.6,2.8,86087664
06/09/1984,333800,90.4,369000,358000,2161000,90.4,2391000,2373500,2.5,2.8,86087664
06/16/1984,309900,85.9,361000,359750,2140000,90.5,2364000,2364250,2.5,2.7,86087664
06/23/1984,316800,87.6,362000,361750,2115000,90.4,2339000,2368250,2.5,2.7,86087664
06/30/1984,329000,91.4,360000,363000,2005000,86.1,2329000,2355750,2.3,2.7,86087664
07/07/1984,432500,118.3,366000,362250,2343000,98.6,2375000,2351750,2.7,2.7,86859396
07/14/1984,435900,121.1,360000,362000,2334000,98.5,2371000,2353500,2.7,2.7,86859396
07/21/1984,396200,110.9,357000,360750,2231000,95.5,2337000,2353000,2.6,2.7,86859396
07/28/1984,343800,95.9,359000,360500,2203000,94.6,2329000,2353000,2.5,2.7,86859396
08/04/1984,348100,91.2,382000,364500,2194000,94.1,2332000,2342250,2.5,2.7,86859396
08/11/1984,328100,86.4,380000,369500,2208000,92.4,2390000,2347000,2.5,2.8,86859396
08/18/1984,321000,80,401000,380500,2169000,89.8,2416000,2366750,2.5,2.8,86859396
08/25/1984,303300,76.8,395000,389500,2142000,89.1,2405000,2385750,2.5,2.8,86859396
09/01/1984,303500,78.9,385000,390250,1960000,81.3,2410000,2405250,2.3,2.8,86859396
09/08/1984,289300,71.9,402000,395750,2120000,87.1,2435000,2416500,2.4,2.8,86859396
09/15/1984,320700,81.7,393000,393750,2017000,82.9,2434000,2421000,2.3,2.8,86859396
09/22/1984,313200,79.3,395000,393750,1976000,81.6,2421000,2425000,2.3,2.8,86859396
09/29/1984,304700,75.8,402000,398000,1980000,80,2474000,2441000,2.3,2.8,86859396
10/06/1984,373300,92.5,403000,398250,1912000,77.9,2455000,2446000,2.2,2.8,87971170
10/13/1984,353200,86,410000,402500,2077000,81.8,2538000,2472000,2.4,2.9,87971170
10/20/1984,378700,86.4,439000,413500,2094000,82.8,2529000,2499000,2.4,2.9,87971170
10/27/1984,380500,89.6,425000,419250,2151000,83.6,2574000,2524000,2.4,2.9,87971170
11/03/1984,413400,97.6,423000,424250,2159000,83.7,2578000,2554750,2.5,2.9,87971170
11/10/1984,397500,101.2,393000,420000,2188000,86,2545000,2556500,2.5,2.9,87971170
11/17/1984,370800,96.9,383000,406000,2105000,79.6,2645000,2585500,2.4,3,87971170
11/24/1984,387000,90.2,429000,407000,2658000,103.5,2569000,2584250,3,2.9,87971170
12/01/1984,494700,123.5,401000,401500,2547000,100.7,2529000,2572000,2.9,2.9,87971170
12/08/1984,477900,124.7,383000,399000,2584000,99.8,2589000,2583000,2.9,2.9,87971170
12/15/1984,443700,114.9,386000,399750,2644000,101.9,2594000,2570250,3,2.9,87971170
12/22/1984,482300,127.3,379000,387250,2393000,96.2,2487000,2549750,2.7,2.8,87971170
12/29/1984,527500,139.3,379000,381750,2997000,118.2,2536000,2551500,3.4,2.9,87971170
01/05/1985,568300,154.1,369000,378250,3428000,132.2,2593000,2552500,3.8,2.9,89165383
01/12/1985,770000,199.2,387000,378500,3214000,126.4,2543000,2539750,3.6,2.9,89165383
01/19/1985,537700,149.8,359000,373500,3174000,128.4,2472000,2536000,3.6,2.8,89165383
01/26/1985,478300,130.1,368000,370750,3254000,125.1,2601000,2552250,3.6,2.9,89165383
02/02/1985,452400,117.1,386000,375000,3287000,124.9,2632000,2562000,3.7,3,89165383
02/09/1985,473300,117.9,401000,378500,3213000,123.2,2608000,2578250,3.6,2.9,89165383
02/16/1985,404700,103.8,390000,386250,3211000,122.9,2613000,2613500,3.6,2.9,89165383
02/23/1985,379000,97.3,390000,391750,3320000,125.7,2641000,2623500,3.7,3,89165383
03/02/1985,377300,100.9,374000,388750,3193000,124.2,2571000,2608250,3.6,2.9,89165383
03/09/1985,389200,101,385000,384750,3135000,121,2591000,2604000,3.5,2.9,89165383
03/16/1985,360500,93.4,386000,383750,3081000,119.5,2578000,2595250,3.5,2.9,89165383
03/23/1985,346700,92.9,373000,379500,2947000,115.3,2556000,2574000,3.3,2.9,89165383
03/30/1985,329100,85.3,386000,382500,2865000,113.4,2526000,2562750,3.2,2.8,89165383
04/06/1985,398000,98.3,405000,387500,2777000,108.1,2569000,2557250,3.1,2.8,90392838
04/13/1985,397500,96.7,411000,393750,2798000,107.6,2600000,2562750,3.1,2.9,90392838
04/20/1985,351800,89.9,391000,398250,2649000,102.5,2584000,2569750,2.9,2.9,90392838
04/27/1985,324700,84.2,386000,398250,2580000,100.7,2562000,2578750,2.9,2.8,90392838
05/04/1985,335600,86,390000,394500,2481000,96.1,2582000,2582000,2.7,2.9,90392838
